100683,0,1,0,0,1
103174,0,1,1,0,1
102993,0,0,0,0,1
100635,0,0,0,0,1
100681,0,0,0,0,1
100682,0,0,0,0,1
100724,0,0,1,0,2
100787,0,0,0,0,2
100789,0,0,1,0,1
100802,0,0,1,0,3
100837,0,0,0,0,1
100842,0,1,0,0,2
100848,0,1,0,0,1
100889,0,0,1,0,1
100911,0,0,0,0,1
100914,0,0,0,0,1
100939,0,0,0,0,1
100946,0,0,0,0,2
100947,0,1,0,0,1
100949,1,1,1,0,3
101004,0,0,0,0,3
101037,0,0,1,0,1
101042,0,0,0,0,2
101044,0,1,0,0,1
101046,0,0,0,0,1
101059,0,1,0,0,2
101063,0,0,0,0,1
101257,0,0,0,0,2
101278,0,0,0,0,1
101282,0,0,0,0,3
101287,0,0,0,0,1
101304,0,1,1,0,2
101336,0,0,0,0,3
101338,0,0,0,0,1
101362,0,0,1,0,2
101379,0,0,0,0,1
101396,0,0,0,0,2
101399,0,0,0,0,2
101461,0,1,1,0,2
101471,0,1,1,0,1
101477,0,1,0,0,3
101496,0,0,0,0,3
101498,0,1,0,0,3
101518,0,1,0,0,3
101546,0,0,0,0,3
101549,0,1,1,0,2
101584,0,1,0,0,1
101608,0,0,0,0,3
101612,1,1,1,0,2
101619,0,1,1,0,2
101624,0,0,0,0,2
101634,0,1,0,0,2
101668,0,1,0,0,2
101685,0,0,0,0,2
101692,0,0,0,0,1
101738,0,0,0,0,1
101752,0,0,0,0,2
101756,0,1,1,0,1
101762,0,1,0,0,3
101774,0,0,0,0,3
101851,0,0,0,0,3
101853,0,1,0,0,2
101857,1,1,1,0,1
101923,0,1,1,0,3
101950,0,1,1,0,1
101984,1,1,1,0,1
102042,0,0,0,0,2
102043,1,1,0,0,1
102046,0,0,0,0,1
102081,0,0,1,0,1
102123,0,0,0,0,1
102154,0,0,0,0,2
102159,0,0,0,0,1
102182,0,0,0,0,1
102230,0,0,1,0,1
102253,0,1,0,0,2
102308,0,0,0,0,1
102309,0,0,0,0,2
102317,0,0,0,0,2
102337,0,1,1,0,2
102403,0,1,0,0,1
102422,0,0,0,0,1
102431,0,0,0,0,2
102434,0,1,1,0,2
102445,0,0,1,0,1
102471,0,0,0,0,1
102502,0,1,0,0,2
102504,0,1,1,0,3
102515,0,0,0,0,2
102607,0,0,0,0,1
102629,0,0,0,0,2
102659,0,1,0,0,1
102671,0,1,0,0,3
102684,0,0,1,0,3
102697,0,0,0,0,3
102747,0,0,0,0,2
102759,0,0,0,0,3
102760,0,0,0,0,1
102818,1,1,1,0,2
102822,1,1,1,0,2
102839,1,1,1,0,3
102847,0,1,1,0,1
102849,0,1,0,0,1
102924,0,0,0,0,3
102935,0,0,0,0,2
102945,0,1,0,0,1
102978,0,1,0,0,1
102982,0,0,0,0,2
102988,0,0,0,0,1
102990,0,1,1,0,3
102993,0,0,0,0,1
102997,0,1,1,0,3
103178,0,0,0,0,1
103199,0,0,0,0,1
103211,1,1,0,0,1
103227,0,1,0,0,2
103236,0,0,0,0,2
103338,0,0,0,0,1
103415,0,0,0,0,1
103416,0,0,1,0,2
103422,1,1,1,0,1
103423,0,0,0,0,1
103528,0,1,1,0,2
103560,0,0,0,0,3
103639,0,0,0,0,1
103679,0,1,0,0,2
103687,0,0,0,0,1
103754,0,0,0,0,1
103762,0,0,0,0,1
103764,0,0,0,0,1
103766,0,0,0,0,3
103770,0,1,0,0,3
103772,0,1,1,0,1
103776,0,0,0,0,2
103778,0,0,0,0,2
103780,1,1,0,0,1
103805,0,0,0,0,1
103811,0,0,0,0,1
103860,0,1,0,0,1
103917,0,0,0,0,1
103937,0,0,0,0,2
103939,0,0,0,0,2
104027,0,0,0,0,1
104029,0,0,0,0,2
104031,0,0,0,0,1
104047,0,0,0,0,3
104105,0,0,0,0,3
104114,0,0,0,0,2
104140,0,0,0,0,3
104159,0,0,0,0,1
104180,0,0,0,0,3
104202,0,0,1,0,3
104233,0,0,0,0,2
104272,0,0,0,0,1
104339,0,1,1,0,3
104440,0,0,0,0,1
104449,0,0,0,0,1
104584,0,0,1,0,3
104586,0,1,1,0,3
104628,0,0,1,0,1
104641,0,1,0,0,1
104648,0,0,0,0,2
104704,0,1,1,0,2
104713,0,1,0,0,2
104726,0,0,0,0,2
104734,0,1,0,0,2
104742,0,0,0,0,2
104752,1,1,0,0,1
104769,0,0,0,0,1
104785,0,0,0,0,1
104843,1,0,1,0,1
104845,0,1,1,0,2
104847,0,1,0,0,2
104866,0,1,0,0,3
104903,0,0,0,0,3
104909,0,0,0,0,2
104936,0,0,0,0,2
104979,0,0,0,0,1
105010,0,0,0,0,2
105019,0,1,0,0,2
105077,0,0,1,0,3
105081,0,0,0,0,3
105109,0,1,0,0,1
105128,0,0,0,0,1
105130,0,0,0,0,1
105136,0,0,1,0,2
105163,0,0,0,0,1
105169,0,0,0,0,1
105193,0,0,0,0,2
105249,0,0,0,0,1
105266,0,0,0,0,1
200877,0,1,0,1,1
200916,0,1,0,1,1
201469,0,1,0,1,1
202188,0,0,0,1,1
202210,1,1,0,1,3
202528,0,0,0,1,3
202636,0,1,0,1,1
203328,0,1,1,1,2
203390,0,1,0,1,1
203408,0,1,0,1,1
203468,0,1,0,1,2
203490,0,1,0,1,2
203952,0,1,0,1,2
203990,0,1,0,1,2
204058,0,1,0,1,1
204375,0,1,1,1,1
101390,0,1,1,0,3
